feature,importance
cat__DOMINANT_CRIME_TYPE_HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,2.146698295668729e-09
cat__DOMINANT_PREMISE_MTA - RED LINE - UNION STATION,2.063261210052313e-09
cat__DOMINANT_PREMISE_BOWLING ALLEY*,0.0
"cat__DOMINANT_PREMISE_BUS, SCHOOL, CHURCH",0.0
cat__DOMINANT_PREMISE_VISION CARE FACILITY*,0.0
cat__DOMINANT_PREMISE_WATER FACILITY,0.0
cat__DOMINANT_PREMISE_CHEMICAL STORAGE/MANUFACTURING PLANT,0.0
"cat__DOMINANT_PREMISE_BUS DEPOT/TERMINAL, OTHER THAN MTA",0.0
cat__DOMINANT_PREMISE_CREDIT UNION,0.0
cat__DOMINANT_PREMISE_CONVENTION CENTER,0.0
cat__DOMINANT_PREMISE_CULTURAL SIGNIFICANCE/MONUMENT,0.0
cat__DOMINANT_PREMISE_DAM/RESERVOIR,0.0
cat__DOMINANT_PREMISE_DAY CARE/CHILDREN*,0.0
cat__DOMINANT_PREMISE_DAY CARE/ADULTS*,0.0
cat__DOMINANT_PREMISE_AMTRAK TRAIN,0.0
cat__DOMINANT_PREMISE_BOOK STORE,0.0
cat__DOMINANT_PREMISE_FACTORY,0.0
cat__DOMINANT_PREMISE_EQUIPMENT RENTAL,0.0
cat__DOMINANT_PREMISE_ENTERTAINMENT/COMEDY CLUB (OTHER),0.0
cat__DOMINANT_PREMISE_ENERGY PLANT/FACILITY,0.0
cat__DOMINANT_PREMISE_ELEVATOR,0.0
cat__DOMINANT_PREMISE_DRIVE THRU*,0.0
cat__DOMINANT_PREMISE_DRIVE THRU BANKING (WINDOW)*,0.0
cat__DOMINANT_PREMISE_AIRCRAFT,0.0
cat__DOMINANT_PREMISE_ABORTION CLINIC/ABORTION FACILITY*,0.0
cat__DOMINANT_PREMISE_FIRE STATION,0.0
cat__DOMINANT_PREMISE_FURNITURE STORE,0.0
cat__DOMINANT_CRIME_TYPE_THEFT PLAIN - ATTEMPT,0.0
"cat__DOMINANT_CRIME_TYPE_THEFT, COIN MACHINE - PETTY ($950 & UNDER)",0.0
cat__DOMINANT_PREMISE_FOSTER HOME BOYS OR GIRLS*,0.0
"cat__DOMINANT_CRIME_TYPE_THEFT, COIN MACHINE - ATTEMPT",0.0
cat__DOMINANT_CRIME_TYPE_THEFT FROM PERSON - ATTEMPT,0.0
cat__DOMINANT_CRIME_TYPE_SHOPLIFTING - ATTEMPT,0.0
"cat__DOMINANT_CRIME_TYPE_REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)",0.0
cat__DOMINANT_PREMISE_GREYHOUND OR INTERSTATE BUS,0.0
cat__DOMINANT_PREMISE_GARMENT MANUFACTURER,0.0
cat__DOMINANT_PREMISE_FRAT HOUSE/SORORITY/DORMITORY,0.0
cat__DOMINANT_PREMISE_HOCKEY RINK/ICE HOCKEY,0.0
cat__DOMINANT_CRIME_TYPE_TELEPHONE PROPERTY - DAMAGE,0.0
cat__DOMINANT_PREMISE_HIGH-RISE BUILDING,0.0
cat__DOMINANT_PREMISE_MANUFACTURING COMPANY,0.0
cat__DOMINANT_PREMISE_HOSPICE,0.0
cat__DOMINANT_PREMISE_HORSE RACING/SANTA ANITA PARK*,0.0
cat__DOMINANT_CRIME_TYPE_LEWD/LASCIVIOUS ACTS WITH CHILD,0.0
"cat__DOMINANT_CRIME_TYPE_MANSLAUGHTER, NEGLIGENT",0.0
cat__DOMINANT_CRIME_TYPE_TILL TAP - GRAND THEFT ($950.01 & OVER),0.0
cat__DOMINANT_PREMISE_FINANCE COMPANY,0.0
"cat__DOMINANT_CRIME_TYPE_THEFT, COIN MACHINE - GRAND ($950.01 & OVER)",0.0
cat__DOMINANT_CRIME_TYPE_PIMPING,0.0
cat__DOMINANT_CRIME_TYPE_PEEPING TOM,0.0
cat__DOMINANT_CRIME_TYPE_LYNCHING,0.0
cat__DOMINANT_CRIME_TYPE_PROWLER,0.0
cat__DOMINANT_PREMISE_MASS GATHERING LOCATION,0.0
cat__DOMINANT_PREMISE_MASSAGE PARLOR,0.0
cat__DOMINANT_CRIME_TYPE_PURSE SNATCHING,0.0
cat__DOMINANT_CRIME_TYPE_PURSE SNATCHING - ATTEMPT,0.0
cat__DOMINANT_PREMISE_METROLINK TRAIN,0.0
cat__DOMINANT_PREMISE_MORTUARY,0.0
cat__DOMINANT_PREMISE_MOSQUE*,0.0
cat__DOMINANT_PREMISE_MTA - BLUE LINE - 103RD/WATTS TOWERS,0.0
cat__DOMINANT_PREMISE_MTA - BLUE LINE - GRAND/LATTC,0.0
cat__DOMINANT_PREMISE_MTA - BLUE LINE - SAN PEDRO,0.0
cat__DOMINANT_PREMISE_MEDICAL MARIJUANA FACILITIES/BUSINESSES,0.0
cat__DOMINANT_PREMISE_CATERING/ICE CREAM TRUCK,0.0
cat__DOMINANT_PREMISE_APARTMENT/CONDO COMMON LAUNDRY ROOM,0.0
"cat__DOMINANT_PREMISE_ARCADE,GAME ROOM/VIDEO GAMES (EXAMPLE CHUCKIE CHEESE)*",0.0
cat__DOMINANT_PREMISE_BANKING INSIDE MARKET-STORE *,0.0
cat__DOMINANT_PREMISE_BASKETBALL COURTS,0.0
